# t_decimal_year  t_day  magnitude
2.810886171769694242e-03 1.026655092592592577e+00 4.200000000000000178e+00
2.814878952821552385e-03 1.028113425925925917e+00 3.000000000000000000e+00
2.838803950394195186e-03 1.036851851851851913e+00 2.500000000000000000e+00
2.858102392144843025e-03 1.043900462962962905e+00 2.500000000000000000e+00
2.872552456903949576e-03 1.049178240740740842e+00 2.500000000000000000e+00
2.877337456418477442e-03 1.050925925925925819e+00 2.500000000000000000e+00
2.891312190099981378e-03 1.056030092592592506e+00 2.600000000000000089e+00
2.892674805855774064e-03 1.056527777777777510e+00 2.899999999999999911e+00
2.906491095844744230e-03 1.061574074074074003e+00 3.000000000000000000e+00
3.003680456845134964e-03 1.097071759259259149e+00 3.000000000000000000e+00
3.022757077426236044e-03 1.104039351851852091e+00 3.399999999999999911e+00
3.026432971093025344e-03 1.105381944444444375e+00 3.299999999999999822e+00
3.046808829952905254e-03 1.112824074074074021e+00 3.100000000000000089e+00
3.053685286208883843e-03 1.115335648148148229e+00 4.299999999999999822e+00
3.059516014094136854e-03 1.117465277777777821e+00 2.600000000000000089e+00
3.065568563148937924e-03 1.119675925925925908e+00 2.899999999999999911e+00
3.068515615830071357e-03 1.120752314814814854e+00 2.600000000000000089e+00
3.091743461155563918e-03 1.129236111111111107e+00 3.000000000000000000e+00
3.091743461155563918e-03 1.129236111111111107e+00 3.000000000000000000e+00
3.095482732299367941e-03 1.130601851851851913e+00 2.799999999999999822e+00
3.096243262023530736e-03 1.130879629629629513e+00 3.100000000000000089e+00
3.113735445679290635e-03 1.137268518518518290e+00 2.799999999999999822e+00
3.133540907246048016e-03 1.144502314814814792e+00 3.000000000000000000e+00
3.156230044016925407e-03 1.152789351851851940e+00 2.700000000000000178e+00
3.159905937683715575e-03 1.154131944444444446e+00 2.500000000000000000e+00
3.162187526856205695e-03 1.154965277777777688e+00 3.000000000000000000e+00
3.171535704715715102e-03 1.158379629629629592e+00 2.500000000000000000e+00
3.196664874351616819e-03 1.167557870370370399e+00 2.500000000000000000e+00
3.218435037705796344e-03 1.175509259259259309e+00 3.000000000000000000e+00
3.231173910585534003e-03 1.180162037037036926e+00 2.959999999999999964e+00
3.237416592071376206e-03 1.182442129629629690e+00 2.549999999999999822e+00
3.241979770416357313e-03 1.184108796296296395e+00 2.700000000000000178e+00
3.271228476058144017e-03 1.194791666666666696e+00 2.669999999999999929e+00
3.303297479427036876e-03 1.206504629629629566e+00 2.529999999999999805e+00
3.351464361957390455e-03 1.224097222222222170e+00 3.060000000000000053e+00
3.386068464406828422e-03 1.236736111111111036e+00 2.689999999999999947e+00
3.387652901332169168e-03 1.237314814814814756e+00 3.419999999999999929e+00
3.393293496786381480e-03 1.239374999999999893e+00 2.970000000000000195e+00
3.398648893594032744e-03 1.241331018518518459e+00 3.140000000000000124e+00
3.429196837514598712e-03 1.252488425925925908e+00 4.049999999999999822e+00
3.436104982509084228e-03 1.255011574074074154e+00 2.509999999999999787e+00
3.464022761133584306e-03 1.265208333333333268e+00 2.549999999999999822e+00
3.528129079132864398e-03 1.288622685185185190e+00 3.240000000000000213e+00
3.546952189805910056e-03 1.295497685185185155e+00 2.720000000000000195e+00
3.551990699228492910e-03 1.297337962962962887e+00 2.509999999999999787e+00
3.564634505892711087e-03 1.301956018518518610e+00 2.520000000000000018e+00
3.567708313527870930e-03 1.303078703703703489e+00 2.839999999999999858e+00
3.579876789114487361e-03 1.307523148148148184e+00 2.600000000000000089e+00
3.590555893991282527e-03 1.311423611111111054e+00 2.569999999999999840e+00
3.606495329460209041e-03 1.317245370370370372e+00 2.990000000000000213e+00
3.612104236175915292e-03 1.319293981481481692e+00 2.500000000000000000e+00
3.615463242457636617e-03 1.320520833333333366e+00 2.640000000000000124e+00
3.617332878029538411e-03 1.321203703703703658e+00 2.790000000000000036e+00
3.659162012858529003e-03 1.336481481481481381e+00 2.759999999999999787e+00
3.666133535330027941e-03 1.339027777777777706e+00 3.209999999999999964e+00
3.667274329916273001e-03 1.339444444444444438e+00 3.020000000000000018e+00
3.678872408209766035e-03 1.343680555555555545e+00 2.810000000000000053e+00
3.685336910865155430e-03 1.346041666666666581e+00 2.740000000000000213e+00
3.688347341023302719e-03 1.347141203703703605e+00 2.500000000000000000e+00
3.748714387878778354e-03 1.369189814814814721e+00 2.819999999999999840e+00
3.773051339052009481e-03 1.378078703703703667e+00 2.830000000000000071e+00
3.791557562339987596e-03 1.384837962962963021e+00 2.549999999999999822e+00
3.804486567650766388e-03 1.389560185185185093e+00 2.689999999999999947e+00
3.814024877941317362e-03 1.393043981481481675e+00 2.830000000000000071e+00
3.818461301332270325e-03 1.394664351851851780e+00 2.520000000000000018e+00
3.839470934962286187e-03 1.402337962962962870e+00 3.500000000000000000e+00
3.842259543950885849e-03 1.403356481481481399e+00 2.549999999999999822e+00
3.866850005032171529e-03 1.412337962962962878e+00 2.660000000000000142e+00
3.887035731461010307e-03 1.419710648148148069e+00 2.680000000000000160e+00
3.954786254388572772e-03 1.444456018518518237e+00 2.890000000000000124e+00
3.963152081354371324e-03 1.447511574074074048e+00 2.560000000000000053e+00
3.978742940699722501e-03 1.453206018518518494e+00 2.910000000000000142e+00
3.984003271291853415e-03 1.455127314814814721e+00 2.939999999999999947e+00
3.984890555970043921e-03 1.455451388888888697e+00 2.819999999999999840e+00
3.986918635234480354e-03 1.456192129629629628e+00 2.569999999999999840e+00
4.002763004487886085e-03 1.461979166666666829e+00 3.009999999999999787e+00
4.010685189114588517e-03 1.464872685185185208e+00 2.830000000000000071e+00
4.017529956632059744e-03 1.467372685185185155e+00 2.629999999999999893e+00
4.034641875425738246e-03 1.473622685185185244e+00 2.879999999999999893e+00
4.054288893299961422e-03 1.480798611111111107e+00 2.779999999999999805e+00
4.108888589747197034e-03 1.500740740740740709e+00 2.649999999999999911e+00
4.137788719265409268e-03 1.511296296296296360e+00 2.790000000000000036e+00
4.207757453888448865e-03 1.536851851851851913e+00 3.319999999999999840e+00
4.225566524929277173e-03 1.543356481481481524e+00 2.529999999999999805e+00
4.248921125208797445e-03 1.551886574074074154e+00 3.040000000000000036e+00
4.262959236367314803e-03 1.557013888888888919e+00 2.560000000000000053e+00
4.265684467878900175e-03 1.558009259259259149e+00 2.669999999999999929e+00
4.270406089916415487e-03 1.559733796296296493e+00 2.750000000000000000e+00
4.273765096198136812e-03 1.560960648148147945e+00 2.500000000000000000e+00
4.289039068158420447e-03 1.566539351851852002e+00 2.720000000000000195e+00
4.309224794587259225e-03 1.573912037037036971e+00 2.600000000000000089e+00
4.324783965194103907e-03 1.579594907407407600e+00 2.560000000000000053e+00
4.362683696448250645e-03 1.593437500000000284e+00 2.879999999999999893e+00
4.377799224715999207e-03 1.598958333333333259e+00 2.509999999999999787e+00
4.428152630203322122e-03 1.617349537037036988e+00 3.060000000000000053e+00
4.471502824480640473e-03 1.633182870370370354e+00 3.250000000000000000e+00
4.474228055992226713e-03 1.634178240740740806e+00 2.740000000000000213e+00
4.474861830762362665e-03 1.634409722222222250e+00 2.520000000000000018e+00
4.498913583289031876e-03 1.643194444444444180e+00 2.569999999999999840e+00
4.517483184054023847e-03 1.649976851851851833e+00 2.500000000000000000e+00
4.520588680427691484e-03 1.651111111111111196e+00 2.910000000000000142e+00
4.527972156499778314e-03 1.653807870370370248e+00 2.839999999999999858e+00
4.530031924502721241e-03 1.654560185185185217e+00 3.120000000000000107e+00
4.555794868908759343e-03 1.663969907407407467e+00 3.100000000000000089e+00
4.567614768371799569e-03 1.668287037037037068e+00 2.669999999999999929e+00
4.574617979581805001e-03 1.670844907407407431e+00 3.310000000000000053e+00
4.604246950085673536e-03 1.681666666666666643e+00 3.770000000000000018e+00
4.625351649931210181e-03 1.689375000000000071e+00 2.839999999999999858e+00
4.628330391350850108e-03 1.690462962962962834e+00 2.709999999999999964e+00
4.634478006621171528e-03 1.692708333333333259e+00 2.660000000000000142e+00
4.705270648445387775e-03 1.718564814814814490e+00 3.330000000000000071e+00
4.741617631512700694e-03 1.731840277777777715e+00 2.879999999999999893e+00
4.759204881383980942e-03 1.738263888888888609e+00 4.240000000000000213e+00
